==================================================
CURRENT SETTINGS:
S0 = 90
S1 = 0
Part Offset (0,0,0)


CHANGE SETTINGS:
[1] Change Servo Rotations and Part Offset
[2] Other Settings
[3] No Changes

Choice: 

Enter input filename: Enter output filename: Rot X, Y: 0,-0
Doing the matrix math.
 -6.885  -9.017       4
 -0.573  -9.017       4
 -9.017  -0.573       4
 -9.017   5.739       4
  5.739  -9.017       4
  9.017  -5.982       4
 -5.982   9.017       4
  0.331   9.017       4
  9.017   0.331       4
  9.017   6.643       4
  6.643   9.017       4
  6.643   9.017       4
  6.643   9.017    4.25
  9.304  -9.304    4.25
  9.304  -9.304    4.25
  9.304   9.304    4.25
 -9.304   9.304    4.25
 -9.304  -9.304    4.25
  9.229  -9.304    4.25
   9.75   -9.75    4.25
   9.75    9.75    4.25
  -9.75    9.75    4.25
  -9.75   -9.75    4.25
  9.675   -9.75    4.25
    9.5  -9.317    4.25
  9.017  -6.643    4.25
  6.643  -9.017    4.25
  0.331  -9.017    4.25
  9.017  -0.331    4.25
  9.017   5.982    4.25
 -5.982  -9.017    4.25
 -9.017  -5.739    4.25
  5.739   9.017    4.25
 -0.573   9.017    4.25
 -9.017   0.573    4.25
 -9.017   6.885    4.25
 -6.885   9.017    4.25
 -6.885   9.017    4.25
 -6.885   9.017     4.5
  9.304  -9.304     4.5
  9.304  -9.304     4.5
  9.304   9.304     4.5
 -9.304   9.304     4.5
 -9.304  -9.304     4.5
  9.229  -9.304     4.5
   9.75   -9.75     4.5
   9.75    9.75     4.5
  -9.75    9.75     4.5
  -9.75   -9.75     4.5
  9.675   -9.75     4.5
    9.5  -9.317     4.5
 -9.017  -6.885     4.5
 -6.885  -9.017     4.5
 -0.573  -9.017     4.5
 -9.017  -0.573     4.5
 -9.017   5.739     4.5
  5.739  -9.017     4.5
  9.017  -5.982     4.5
 -5.982   9.017     4.5
  0.331   9.017     4.5
  9.017   0.331     4.5
  9.017   6.643     4.5
  6.643   9.017     4.5
  6.643   9.017     4.5
  6.643   9.017    4.75
  9.304  -9.304    4.75
  9.304  -9.304    4.75
  9.304   9.304    4.75
 -9.304   9.304    4.75
 -9.304  -9.304    4.75
  9.229  -9.304    4.75
   9.75   -9.75    4.75
   9.75    9.75    4.75
  -9.75    9.75    4.75
  -9.75   -9.75    4.75
  9.675   -9.75    4.75
    9.5  -9.317    4.75
  9.017  -6.643    4.75
  6.643  -9.017    4.75
  0.331  -9.017    4.75
  9.017  -0.331    4.75
  9.017   5.982    4.75
 -5.982  -9.017    4.75
 -9.017  -5.739    4.75
  5.739   9.017    4.75
 -0.573   9.017    4.75
 -9.017   0.573    4.75
 -9.017   6.885    4.75
